Date/Time,Word Count,en,uk
2026.05.08-17.11.46,0,0,0
2026.05.08-17.18.54,19,19,0
2026.06.12-20.59.41,34,34,0
2026.06.12-21.07.11,34,34,8
2026.06.13-19.04.00,34,34,34
2026.06.13-19.51.33,39,39,34
2026.06.13-19.57.23,39,39,39
2026.06.13-20.35.14,54,54,39
2026.06.13-20.41.08,54,54,54
2026.06.13-21.29.38,55,55,54
2026.06.13-21.32.00,55,55,55
2026.06.13-21.56.02,66,66,55
2026.06.13-21.59.12,66,66,66
2026.06.13-22.24.31,77,77,65
2026.06.13-22.27.46,77,77,76
2026.06.13-22.31.09,77,77,77
2026.06.13-22.54.30,104,104,73
2026.06.13-22.57.59,104,104,104
2026.07.11-16.55.31,156,156,104
2026.07.11-17.00.01,156,156,156
